Ano;Homicídio Doloso por 100 mil habitantes;Furto por 100 mil habitantes;Roubo por 100 mil habitantes;Furto e Roubo de Veículo por 100 mil habitantes;Furto por 100 mil veículos;Roubo por 100 mil veículos;Furto e Roubo de Veículo por 100 mil veículos;Cidade;Regiao
;;;;;;;;Elias Fausto;Piracicaba
;;;;;;;;Engenheiro Coelho;Piracicaba
;;;;;;;;Espírito Santo do Pinhal;Piracicaba
1999;58,07;564,59;1.565,74;530,31;-;-;-;Hortolândia;Piracicaba
2000;47,07;502,47;843,19;601,24;-;-;-;Hortolândia;Piracicaba
2001;57,04;811,33;861,95;399,25;826,72;1.735,70;2.562,42;Hortolândia;Piracicaba
2002;59,92;811,38;858,81;410,06;742,71;1.684,96;2.427,67;Hortolândia;Piracicaba
2003;58,42;796,6;1.004,12;297,58;635,5;974,65;1.610,14;Hortolândia;Piracicaba
2004;46,91;872,91;739,3;317,1;788,75;782,86;1.571,61;Hortolândia;Piracicaba
2005;42,33;754,91;597,78;351,36;871,22;709,5;1.580,72;Hortolândia;Piracicaba
2006;26,07;703,79;548,53;450,5;1.110,56;752,09;1.862,66;Hortolândia;Piracicaba
2007;21,06;664,59;521,58;584,77;1.064,81;1.146,56;2.211,37;Hortolândia;Piracicaba
2008;16,27;580,94;393,26;442,62;675,64;890,61;1.566,25;Hortolândia;Piracicaba
2009;18,59;653,24;610,76;488,61;530,49;1.112,78;1.643,27;Hortolândia;Piracicaba
2010;14,56;660,37;503,34;463,82;481,47;969,44;1.450,90;Hortolândia;Piracicaba
2011;17,34;688,62;571,81;552,94;648,69;938,62;1.587,30;Hortolândia;Piracicaba
2012;16,51;748,09;645,51;687,04;682,25;1.161,70;1.843,94;Hortolândia;Piracicaba
2013;16,69;696,55;746,13;729,44;699,06;1.142,79;1.841,84;Hortolândia;Piracicaba
2014;20,22;725,21;793,1;586,04;609,06;763,58;1.372,64;Hortolândia;Piracicaba
2015;12,28;763,38;665,6;426,09;479,2;458,41;937,61;Hortolândia;Piracicaba
2016;11,61;797,56;787,81;460,79;532,62;435,07;967,69;Hortolândia;Piracicaba
2017;12,33;727,16;612,06;386,87;423,03;359,3;782,33;Hortolândia;Piracicaba
2018;9,85;653,55;495,08;435,1;492,1;359,01;851,11;Hortolândia;Piracicaba
2019;5,72;678,32;496,2;382,71;383,56;321,93;705,49;Hortolândia;Piracicaba
2020;10,38;485,17;250,37;269,83;294,77;198,36;493,13;Hortolândia;Piracicaba
;;;;;;;;Ipeúna;Piracicaba
;;;;;;;;Iracemápolis;Piracicaba
;;;;;;;;Itirapina;Piracicaba
;;;;;;;;Itobi;Piracicaba
;;;;;;;;Leme;Piracicaba
1999;12,32;1.256,10;333,43;266,09;-;-;-;Limeira;Piracicaba
2000;13,3;1.365,79;394,43;299,35;-;-;-;Limeira;Piracicaba
2001;13,51;1.298,84;417,98;306,73;713,2;223,18;936,38;Limeira;Piracicaba
2002;15,72;1.165,08;426,34;337,54;819,58;151,48;971,06;Limeira;Piracicaba
2003;15,16;1.680,72;528,75;311,03;618,32;234,54;852,86;Limeira;Piracicaba
2004;11,92;1.528,01;407,68;318,45;582,64;250,56;833,2;Limeira;Piracicaba
2005;11,41;1.312,63;432,85;377,7;684,12;245,2;929,32;Limeira;Piracicaba
2006;8,28;1.230,70;421,02;331,85;591,13;176,73;767,86;Limeira;Piracicaba
2007;2,61;1.215,26;343,49;366,59;653,3;138,38;791,68;Limeira;Piracicaba
2008;4,43;1.003,43;348,14;376,56;650,15;108,61;758,76;Limeira;Piracicaba
2009;3,29;1.221,75;444,57;502,38;756,4;201,66;958,06;Limeira;Piracicaba
2010;6,16;1.256,77;416,63;511,99;731,92;186,72;918,64;Limeira;Piracicaba
2011;5,76;1.313,45;432,42;562,65;711,77;238,07;949,84;Limeira;Piracicaba
2012;6,42;1.162,86;442,23;672,8;753,42;321,67;1.075,10;Limeira;Piracicaba
2013;8,5;1.243,31;527,64;845,28;955,39;333,04;1.288,43;Limeira;Piracicaba
2014;4,57;1.126,39;469,74;694,59;734,33;285,89;1.020,21;Limeira;Piracicaba
2015;4,18;1.038,41;446,87;470,23;521,43;154,27;675,7;Limeira;Piracicaba
2016;4,85;1.075,70;482,44;489,02;569,84;122;691,84;Limeira;Piracicaba
2017;4,82;1.085,29;378,51;480,02;570,12;95,97;666,09;Limeira;Piracicaba
2018;2,04;1.047,67;298,51;322,62;398,51;43,76;442,28;Limeira;Piracicaba
2019;4,72;964,61;298,75;323,67;360,44;69,31;429,75;Limeira;Piracicaba
2020;3,67;791,71;201,1;233,17;260,62;46,66;307,28;Limeira;Piracicaba
;;;;;;;;Mococa;Piracicaba
;;;;;;;;Mombuca;Piracicaba
;;;;;;;;Monte Mor;Piracicaba
;;;;;;;;Nova Odessa;Piracicaba
1999;21,12;1.460,50;362,1;242,85;-;-;-;Piracicaba;Piracicaba
2000;14,64;1.622,00;301,4;292,55;-;-;-;Piracicaba;Piracicaba
2001;12,33;1.558,99;350,52;318,05;630,88;204,5;835,39;Piracicaba;Piracicaba
2002;16,05;1.655,71;314,44;375,66;727,19;220,4;947,59;Piracicaba;Piracicaba
2003;17,35;1.897,35;361,36;373,12;734,8;174,92;909,72;Piracicaba;Piracicaba
2004;14,84;1.829,16;460,85;508,57;972,64;208,86;1.181,50;Piracicaba;Piracicaba
2005;12,95;1.799,29;449,97;531,73;931,52;241,29;1.172,81;Piracicaba;Piracicaba
2006;9,97;1.601,37;484,2;507,29;793,35;262,87;1.056,22;Piracicaba;Piracicaba
2007;9,88;1.573,34;398,91;497,16;771,36;190,66;962,02;Piracicaba;Piracicaba
2008;6,43;1.303,50;416,22;490,63;664,88;223,99;888,87;Piracicaba;Piracicaba
2009;4,99;1.486,79;666,49;475,83;595,16;227,62;822,78;Piracicaba;Piracicaba
2010;10,71;1.420,96;524,62;443,09;512,07;212,91;724,98;Piracicaba;Piracicaba
2011;11,72;1.431,87;531,33;527,24;583,1;232,14;815,24;Piracicaba;Piracicaba
2012;12,98;1.325,16;459,75;706,12;715,28;321,12;1.036,40;Piracicaba;Piracicaba
2013;13,69;1.245,19;445,31;564,22;553,3;235,73;789,04;Piracicaba;Piracicaba
2014;9,32;1.144,77;486,2;613,28;560,27;270,75;831,02;Piracicaba;Piracicaba
2015;8,99;1.086,77;427,57;567,45;550,71;203,48;754,19;Piracicaba;Piracicaba
2016;7,36;1.139,83;369,52;464,92;449,37;159,77;609,14;Piracicaba;Piracicaba
2017;4,44;1.044,10;329,66;445,38;463,73;111,3;575,03;Piracicaba;Piracicaba
2018;6,44;962,31;255,14;328,33;327,03;90,86;417,89;Piracicaba;Piracicaba
2019;6,9;873,52;203,74;242,35;243,78;55,96;299,74;Piracicaba;Piracicaba
2020;4,31;654,28;143,79;129,84;115,98;42,37;158,35;Piracicaba;Piracicaba
;;;;;;;;Pirassununga;Piracicaba
;;;;;;;;Rafard;Piracicaba
1999;10,96;1.333,55;463,79;347,54;-;-;-;Rio Claro;Piracicaba
2000;17,29;1.440,65;438,09;324,25;-;-;-;Rio Claro;Piracicaba
2001;21,78;1.469,62;376,67;400,22;786,06;189,34;975,4;Rio Claro;Piracicaba
2002;36,11;1.393,73;432,74;350,04;648,63;160,14;808,76;Rio Claro;Piracicaba
2003;27,1;1.827,56;490,04;431,81;786,21;168,2;954,41;Rio Claro;Piracicaba
2004;29,1;1.605,08;476,45;473,59;797,92;202,49;1.000,41;Rio Claro;Piracicaba
2005;13,55;1.520,33;519,01;420,74;708;140,01;848,01;Rio Claro;Piracicaba
2006;11,74;1.581,22;570,67;417,52;585,33;214,02;799,35;Rio Claro;Piracicaba
2007;6,64;1.378,19;532,46;449,99;643,84;163,94;807,78;Rio Claro;Piracicaba
2008;7,13;1.235,62;508,72;469,8;685,27;107,28;792,55;Rio Claro;Piracicaba
2009;11,94;1.403,87;705,19;480,99;594,88;176,81;771,68;Rio Claro;Piracicaba
2010;9,67;1.159,09;649,67;473,41;500,56;223,57;724,13;Rio Claro;Piracicaba
2011;22,38;1.335,34;589,34;686,32;749,03;246,59;995,62;Rio Claro;Piracicaba
2012;14,27;1.325,75;580,71;551,65;550,94;209,88;760,83;Rio Claro;Piracicaba
2013;24,1;1.316,22;784,91;635,58;584,04;258,34;842,37;Rio Claro;Piracicaba
2014;19,74;1.249,09;586,1;643,25;636,21;187,67;823,88;Rio Claro;Piracicaba
2015;8,24;1.286,54;606,43;522,45;462,31;189,68;651,99;Rio Claro;Piracicaba
2016;14,83;1.296,74;675,23;583,66;464,97;248,11;713,08;Rio Claro;Piracicaba
2017;10,67;1.257,47;446,92;407,81;309,59;179,78;489,37;Rio Claro;Piracicaba
2018;11,04;1.128,16;370,37;366,85;246,21;187,48;433,69;Rio Claro;Piracicaba
2019;6,47;930,99;274,67;294,08;248,42;90,65;339,07;Rio Claro;Piracicaba
2020;10,36;688,79;274,33;225,98;150,6;106,77;257,38;Rio Claro;Piracicaba
;;;;;;;;Rio das Pedras;Piracicaba
;;;;;;;;Saltinho;Piracicaba
1999;11,99;979,28;461,47;256,51;-;-;-;Santa Bárbara d'Oeste;Piracicaba
2000;13,57;889,2;495,64;302,69;-;-;-;Santa Bárbara d'Oeste;Piracicaba
2001;11,11;964,38;427,51;242,7;476,05;269,46;745,5;Santa Bárbara d'Oeste;Piracicaba
2002;21,5;919,3;409,67;190,6;394,42;153,76;548,18;Santa Bárbara d'Oeste;Piracicaba
2003;15,59;1.233,00;419,86;223,5;462,46;144,23;606,69;Santa Bárbara d'Oeste;Piracicaba
2004;12,05;1.112,92;341,51;219,25;414,52;141,08;555,6;Santa Bárbara d'Oeste;Piracicaba
2005;16,54;1.044,43;317,72;233,87;441,72;115,53;557,25;Santa Bárbara d'Oeste;Piracicaba
2006;10,78;1.066,24;276,77;192,26;329,24;100,04;429,28;Santa Bárbara d'Oeste;Piracicaba
2007;5,64;787,8;294,01;231,37;395,25;79,98;475,23;Santa Bárbara d'Oeste;Piracicaba
2008;6,18;800,29;278,56;310,57;513,13;89,34;602,47;Santa Bárbara d'Oeste;Piracicaba
2009;10,06;845,98;361,52;282,74;451,5;70,1;521,6;Santa Bárbara d'Oeste;Piracicaba
2010;10,56;917,05;377,38;386,83;572,42;102,84;675,26;Santa Bárbara d'Oeste;Piracicaba
2011;9,95;893,48;395,87;515,3;730,7;107,98;838,68;Santa Bárbara d'Oeste;Piracicaba
2012;6,6;1.040,09;424,61;473,57;585,7;148,34;734,04;Santa Bárbara d'Oeste;Piracicaba
2013;12,04;1.007,86;336,5;352,91;424,09;98,93;523,01;Santa Bárbara d'Oeste;Piracicaba
2014;4,35;912,26;346,72;367,95;394,82;129,54;524,36;Santa Bárbara d'Oeste;Piracicaba
2015;8,66;895,59;321,63;518,73;590,59;131,07;721,66;Santa Bárbara d'Oeste;Piracicaba
2016;8,63;878,23;311,61;410,81;482,48;80,54;563,01;Santa Bárbara d'Oeste;Piracicaba
2017;8,05;837,38;243,16;449,82;553,86;52,06;605,92;Santa Bárbara d'Oeste;Piracicaba
2018;6,4;809,6;194,13;425,07;495,78;67,9;563,68;Santa Bárbara d'Oeste;Piracicaba
2019;3,71;748,2;227,11;341,73;389,42;55,24;444,65;Santa Bárbara d'Oeste;Piracicaba
2020;3,7;559,12;142,02;265,57;300,02;41,41;341,42;Santa Bárbara d'Oeste;Piracicaba
;;;;;;;;Santa Cruz da Conceição;Piracicaba
;;;;;;;;Santa Cruz das Palmeiras;Piracicaba
;;;;;;;;Santa Gertrudes;Piracicaba
;;;;;;;;Santa Maria da Serra;Piracicaba
;;;;;;;;Santo Antônio do Jardim;Piracicaba
;;;;;;;;São João da Boa Vista;Piracicaba
;;;;;;;;São José do Rio Pardo;Piracicaba
;;;;;;;;São Pedro;Piracicaba
;;;;;;;;São Sebastião da Grama;Piracicaba
1999;44,43;774,39;648,5;525,78;-;-;-;Sumaré;Piracicaba
2000;60,38;678,47;489,15;566,41;-;-;-;Sumaré;Piracicaba
2001;44,37;636,12;487,06;544,89;937,18;1.380,32;2.317,50;Sumaré;Piracicaba
2002;46,83;778,07;516,6;462,94;759,97;1.070,52;1.830,49;Sumaré;Piracicaba
2003;45,35;962,95;528,02;438,75;804,72;824,22;1.628,94;Sumaré;Piracicaba
2004;46,3;964,73;517,67;514,87;1.008,74;782,58;1.791,32;Sumaré;Piracicaba
2005;23,36;897,03;459,51;457,68;842,75;626,54;1.469,29;Sumaré;Piracicaba
2006;14,36;905,28;514,36;467,23;925,6;462,8;1.388,41;Sumaré;Piracicaba
2007;17,16;930,91;517,37;514,73;737,78;658,99;1.396,77;Sumaré;Piracicaba
2008;14,67;761,78;389,51;478,81;716,3;486,56;1.202,86;Sumaré;Piracicaba
2009;18,62;926,67;591,55;537,39;717,94;564,45;1.282,39;Sumaré;Piracicaba
2010;18,26;1.006,22;641,34;500,62;535,93;590,08;1.126,01;Sumaré;Piracicaba
2011;15,49;859,1;572,87;694,78;749,69;716,98;1.466,66;Sumaré;Piracicaba
2012;15,22;908,33;588,73;662,42;619,28;710,97;1.330,26;Sumaré;Piracicaba
2013;12,19;915,8;620,76;714,78;623;749,11;1.372,11;Sumaré;Piracicaba
2014;15,07;924,26;719,09;607,8;568,05;548,88;1.116,93;Sumaré;Piracicaba
2015;12,15;969,33;730,23;524,52;545,7;392,31;938,01;Sumaré;Piracicaba
2016;16,46;979,38;768,76;457,14;489,65;311,36;801,01;Sumaré;Piracicaba
2017;11,8;772,49;577,06;341,81;342,88;243,56;586,44;Sumaré;Piracicaba
2018;9,41;782,97;488,45;333,59;357,61;203,13;560,75;Sumaré;Piracicaba
2019;6,77;761,99;355,71;296,61;316,03;165,24;481,27;Sumaré;Piracicaba
2020;9,11;529,26;260,07;207,15;188,05;137,87;325,92;Sumaré;Piracicaba
;;;;;;;;Tambaú;Piracicaba
;;;;;;;;Tapiratiba;Piracicaba
;;;;;;;;Torrinha;Piracicaba
;;;;;;;;Vargem Grande do Sul;Piracicaba
;;;;;;;;Alto Alegre;Araçatuba
;;;;;;;;Andradina;Araçatuba
1999;23,32;1.111,76;390,52;317,56;-;-;-;Araçatuba;Araçatuba
2000;14,2;2.302,56;425,26;216,47;-;-;-;Araçatuba;Araçatuba
2001;22,27;2.604,23;349,34;207,49;417,3;97,42;514,71;Araçatuba;Araçatuba
2002;18,02;2.867,28;431,95;199,41;423,37;49,65;473,02;Araçatuba;Araçatuba
2003;19,04;3.335,47;320,27;199,67;429,47;22,19;451,66;Araçatuba;Araçatuba
2004;27,5;3.279,17;279,04;149,55;293,89;27,05;320,94;Araçatuba;Araçatuba
2005;27,87;2.677,03;383,9;158,68;292,85;33,97;326,82;Araçatuba;Araçatuba
2006;24,29;2.280,02;287,54;113,55;184,16;36,18;220,34;Araçatuba;Araçatuba
2007;8,42;2.063,36;415,03;107,27;155,19;38,54;193,74;Araçatuba;Araçatuba
2008;8,37;1.665,87;399,58;103,24;130,23;43,1;173,33;Araçatuba;Araçatuba
2009;7,76;1.964,88;511,32;181,35;227,78;57,6;285,38;Araçatuba;Araçatuba
2010;14,33;1.703,28;459,02;148,23;171,49;47,14;218,63;Araçatuba;Araçatuba
2011;8,22;1.467,06;403,89;162,21;181,62;42,38;224;Araçatuba;Araçatuba
2012;9,81;1.398,52;349,9;140,61;168,66;14,94;183,6;Araçatuba;Araçatuba
2013;12,47;1.638,56;276,98;148,52;169,74;15,55;185,29;Araçatuba;Araçatuba
2014;16,17;1.444,67;285,16;177,89;196,6;17,52;214,12;Araçatuba;Araçatuba
2015;17,69;1.408,87;381,7;144,21;158,92;10,05;168,97;Araçatuba;Araçatuba
2016;20,29;1.468,67;300,57;121,72;125,84;13,44;139,27;Araçatuba;Araçatuba
2017;10,1;1.463,08;210;118,02;120,23;12,56;132,8;Araçatuba;Araçatuba
2018;12,64;1.200,87;184,34;115,35;115,64;12,27;127,91;Araçatuba;Araçatuba
2019;12,04;1.175,65;161,29;101,59;93,08;17,7;110,78;Araçatuba;Araçatuba
2020;15,62;1.086,69;117,16;73,94;70,07;10,17;80,24;Araçatuba;Araçatuba
;;;;;;;;Auriflama;Araçatuba
;;;;;;;;Avanhandava;Araçatuba
;;;;;;;;Barbosa;Araçatuba
;;;;;;;;Bento de Abreu;Araçatuba
;;;;;;;;Bilac;Araçatuba
1999;15,21;1.111,52;186,88;208,61;-;-;-;Birigui;Araçatuba
2000;15,94;1.306,80;195,49;172,12;-;-;-;Birigui;Araçatuba
2001;25,09;1.951,87;366,96;233,14;540,14;97,17;637,31;Birigui;Araçatuba
2002;25,73;1.872,25;397,3;219,24;463,02;100,54;563,57;Birigui;Araçatuba
2003;15,21;2.371,75;298,12;128,78;280,39;34,74;315,13;Birigui;Araçatuba
2004;24,99;1.919,19;299,87;137,94;268,2;50,87;319,07;Birigui;Araçatuba
2005;27,6;1.868,75;392,28;224,72;380,51;115,24;495,75;Birigui;Araçatuba
2006;23,33;2.014,53;285,84;151,67;215,67;98,77;314,44;Birigui;Araçatuba
2007;14,39;1.908,13;354,96;167,89;251,41;72,1;323,51;Birigui;Araçatuba
2008;11,35;1.411,53;376,53;179,75;226,72;97,17;323,89;Birigui;Araçatuba
2009;4,66;1.607,46;427,29;250,96;309,61;117,49;427,11;Birigui;Araçatuba
2010;7,37;1.351,76;430,02;231,13;292,04;78,17;370,21;Birigui;Araçatuba
2011;9,1;1.106,93;323,8;241,94;261,94;100,96;362,9;Birigui;Araçatuba
2012;7,19;1.167,95;283,9;178,79;208,68;44,53;253,21;Birigui;Araçatuba
2013;3,55;1.063,14;286,64;160,62;196,16;20,33;216,49;Birigui;Araçatuba
2014;7,01;1.044,87;286,64;113,95;132,17;15,95;148,13;Birigui;Araçatuba
2015;9,52;989,65;333,35;217,33;251,26;24,14;275,39;Birigui;Araçatuba
2016;8,57;1.198,59;216,05;150,04;170,46;15,98;186,44;Birigui;Araçatuba
2017;8,49;1.274,27;187,62;124,8;137,77;14,5;152,28;Birigui;Araçatuba
2018;5,02;1.313,67;161,39;118,74;137,02;6,05;143,07;Birigui;Araçatuba
2019;4,13;1.181,97;161,18;125,64;133,05;15,65;148,7;Birigui;Araçatuba
2020;13,07;986,26;109,49;147,08;163,01;9,59;172,6;Birigui;Araçatuba
;;;;;;;;Braúna;Araçatuba
;;;;;;;;Brejo Alegre;Araçatuba
;;;;;;;;Buritama;Araçatuba
;;;;;;;;Castilho;Araçatuba
;;;;;;;;Clementina;Araçatuba
;;;;;;;;Coroados;Araçatuba
;;;;;;;;Gabriel Monteiro;Araçatuba
;;;;;;;;Gastão Vidigal;Araçatuba
;;;;;;;;General Salgado;Araçatuba
;;;;;;;;Glicério;Araçatuba
;;;;;;;;Guaraçaí;Araçatuba
;;;;;;;;Guararapes;Araçatuba
;;;;;;;;Guzolândia;Araçatuba
;;;;;;;;Ilha Solteira;Araçatuba
;;;;;;;;Itapura;Araçatuba
;;;;;;;;Lavínia;Araçatuba
;;;;;;;;Lourdes;Araçatuba
;;;;;;;;Luiziânia;Araçatuba
;;;;;;;;Mirandópolis;Araçatuba
;;;;;;;;Murutinga do Sul;Araçatuba
;;;;;;;;Nova Castilho;Araçatuba
;;;;;;;;Nova Independência;Araçatuba
;;;;;;;;Nova Luzitânia;Araçatuba
;;;;;;;;Penápolis;Araçatuba
;;;;;;;;Pereira Barreto;Araçatuba
;;;;;;;;Piacatu;Araçatuba
;;;;;;;;Rubiácea;Araçatuba
;;;;;;;;Santo Antônio do Aracanguá;Araçatuba
;;;;;;;;Santópolis do Aguapeí;Araçatuba
;;;;;;;;São João de Iracema;Araçatuba
;;;;;;;;Sud Mennucci;Araçatuba
;;;;;;;;Suzanápolis;Araçatuba
;;;;;;;;Turiúba;Araçatuba
;;;;;;;;Valparaíso;Araçatuba
